ds,y
2017-04-02,36777
2017-04-03,24714
2017-04-04,28465
2017-04-05,28325
2017-04-06,30666
2017-04-07,32837
2017-04-08,35167
2017-04-09,36603
2017-04-10,24648
2017-04-11,28582
2017-04-12,28609
2017-04-13,30495
2017-04-14,32434
2017-04-15,34787
2017-04-16,36498
2017-04-17,24703
2017-04-18,28529
2017-04-19,28716
2017-04-20,30881
2017-04-21,32758
2017-04-22,34821
2017-04-23,37097
2017-04-24,24503
2017-04-25,28660
2017-04-26,28618
2017-04-27,30710
2017-04-28,33065
2017-04-29,34663
2017-04-30,36785
2017-05-01,26290
2017-05-02,31050
2017-05-03,30765
2017-05-04,32984
2017-05-05,35418
2017-05-06,37493
2017-05-07,39460
2017-05-08,26365
2017-05-09,30909
2017-05-10,30895
2017-05-11,33234
2017-05-12,35052
2017-05-13,37346
2017-05-14,39409
2017-05-15,26191
2017-05-16,30927
2017-05-17,30518
2017-05-18,32960
2017-05-19,35473
2017-05-20,37669
2017-05-21,39874
2017-05-22,26354
2017-05-23,30609
2017-05-24,30747
2017-05-25,33110
2017-05-26,35490
2017-05-27,37321
2017-05-28,39417
2017-05-29,26194
2017-05-30,30299
2017-05-31,30863
2017-06-01,34913
2017-06-02,37273
2017-06-03,39931
2017-06-04,42061
2017-06-05,27794
2017-06-06,32934
2017-06-07,33061
2017-06-08,35401
2017-06-09,37304
2017-06-10,39854
2017-06-11,42022
2017-06-12,27827
2017-06-13,32835
2017-06-14,33052
2017-06-15,35041
2017-06-16,37253
2017-06-17,40100
2017-06-18,42004
2017-06-19,28173
2017-06-20,32800
2017-06-21,32943
2017-06-22,34850
2017-06-23,37426
2017-06-24,39501
2017-06-25,42029
2017-06-26,28187
2017-06-27,32849
2017-06-28,32714
2017-06-29,35310
2017-06-30,37182
2017-07-01,42594
2017-07-02,44936
2017-07-03,29775
2017-07-04,34737
2017-07-05,34681
2017-07-06,37195
2017-07-07,39989
2017-07-08,41659
2017-07-09,44610
2017-07-10,29723
2017-07-11,34949
2017-07-12,34823
2017-07-13,37008
2017-07-14,40125
2017-07-15,42170
2017-07-16,44856
2017-07-17,29959
2017-07-18,34615
2017-07-19,34988
2017-07-20,37258
2017-07-21,39819
2017-07-22,42513
2017-07-23,44831
2017-07-24,30041
2017-07-25,34910
2017-07-26,34978
2017-07-27,37254
2017-07-28,39290
2017-07-29,42111
2017-07-30,44832
2017-07-31,30164
2017-08-01,30725
2017-08-02,30787
2017-08-03,32822
2017-08-04,35134
2017-08-05,37237
2017-08-06,39295
2017-08-07,26633
2017-08-08,30828
2017-08-09,30719
2017-08-10,33110
2017-08-11,35084
2017-08-12,37400
2017-08-13,39492
2017-08-14,26144
2017-08-15,30493
2017-08-16,30721
2017-08-17,33053
2017-08-18,35240
2017-08-19,37554
2017-08-20,40022
2017-08-21,26188
2017-08-22,30902
2017-08-23,30625
2017-08-24,32938
2017-08-25,34884
2017-08-26,37753
2017-08-27,39760
2017-08-28,26557
2017-08-29,30775
2017-08-30,30591
2017-08-31,32937
2017-09-01,32529
2017-09-02,34809
2017-09-03,36521
2017-09-04,24625
2017-09-05,28289
2017-09-06,28568
2017-09-07,30647
2017-09-08,33158
2017-09-09,34686
2017-09-10,37162
2017-09-11,24645
2017-09-12,28537
2017-09-13,28837
2017-09-14,30837
2017-09-15,32591
2017-09-16,34938
2017-09-17,36836
2017-09-18,24575
2017-09-19,28569
2017-09-20,28985
2017-09-21,30687
2017-09-22,32716
2017-09-23,34654
2017-09-24,36615
2017-09-25,24796
2017-09-26,28537
2017-09-27,29056
2017-09-28,30535
2017-09-29,32700
2017-09-30,34623
2017-10-01,33845
2017-10-02,22913
2017-10-03,26854
2017-10-04,26691
2017-10-05,28357
2017-10-06,30225
2017-10-07,32189
2017-10-08,34194
2017-10-09,22974
2017-10-10,26478
2017-10-11,26899
2017-10-12,28540
2017-10-13,30354
2017-10-14,32616
2017-10-15,34123
2017-10-16,22940
2017-10-17,26737
2017-10-18,26743
2017-10-19,28790
2017-10-20,30529
2017-10-21,32690
2017-10-22,34381
2017-10-23,22965
2017-10-24,26494
2017-10-25,26794
2017-10-26,28430
2017-10-27,30466
2017-10-28,32392
2017-10-29,34312
2017-10-30,22695
2017-10-31,26550
2017-11-01,28476
2017-11-02,31036
2017-11-03,32843
2017-11-04,35064
2017-11-05,36903
2017-11-06,24752
2017-11-07,28922
2017-11-08,28739
2017-11-09,30856
2017-11-10,32846
2017-11-11,34476
2017-11-12,36934
2017-11-13,24604
2017-11-14,28764
2017-11-15,28607
2017-11-16,30732
2017-11-17,32771
2017-11-18,35007
2017-11-19,36516
2017-11-20,24636
2017-11-21,28827
2017-11-22,28317
2017-11-23,30935
2017-11-24,32607
2017-11-25,34939
2017-11-26,36973
2017-11-27,24427
2017-11-28,28788
2017-11-29,28721
2017-11-30,30819
2017-12-01,23460
2017-12-02,24538
2017-12-03,26533
2017-12-04,17382
2017-12-05,20177
2017-12-06,20340
2017-12-07,21817
2017-12-08,23471
2017-12-09,24811
2017-12-10,26402
2017-12-11,17619
2017-12-12,20236
2017-12-13,20703
2017-12-14,22037
2017-12-15,23581
2017-12-16,24953
2017-12-17,26167
2017-12-18,17746
2017-12-19,20517
2017-12-20,20545
2017-12-21,22214
2017-12-22,23567
2017-12-23,24763
2017-12-24,26130
2017-12-25,17517
2017-12-26,20738
2017-12-27,20378
2017-12-28,21885
2017-12-29,23535
2017-12-30,24988
2017-12-31,26420
